,General_Price,General_Farmiliarity,General_Social,General_Origin,General_Values,General_Reputation,Self_Care_Price,Self_Care_Familiarity,Self_Care_Social,Self_Care_Origin,Self_Care_Values,Self_Care_Reputation,SC_Spend_1,SC_Spend_2,Experience_Price,Experience_Familiarity,Experience_Social,Experience_Origin,Experience_Values,Experience_Reputation,EXP_Spend_1,EXP_Spend_2,Workout_Price,Workout_Familiarity,Workout_Social,Workout_Origin,Workout_Values,Workout_Reputation,WORK_Spend_1,WORK_Spend_2,Gender,Age,Finances,Disposable_Income,General_Quality_1,General_Quality_2,General_Quality_3,Self_Care_Quality_1,Self_Care_Quality_2,Self_Care_Quality_3,Experience_Quality_1,Experience_Quality_2,Experience_Quality_3,Workout_Quality_1,Workout_Quality_2,Workout_Quality_3
31,3.0,3.0,3.0,1.0,3.0,2.0,2.0,3.0,3.0,1.0,3.0,3.0,5.0,40.0,3.0,2.0,1.0,1.0,2.0,1.0,52.0,251.0,3.0,4.0,1.0,3.0,5.0,4.0,47.0,90.0,Male,19.0,3.0,2.0,2.5,2.4,2.25,2.5,2.6,2.33,1.67,1.4,1.4,3.33,3.4,3.2
32,4.0,3.0,1.0,3.0,3.0,3.0,4.0,4.0,2.0,2.0,5.0,3.0,8.0,51.0,,,,,,,,,,,,,,,,,,,,,2.83,2.6,2.5,3.33,3.2,3.33,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,5.0,3.0,3.0,1.0,1.0,3.0,5.0,4.0,3.0,1.0,1.0,5.0,0.0,22.0,5.0,5.0,5.0,1.0,1.0,5.0,,226.0,,,,,,,,,,,,,2.67,2.2,2.0,3.17,2.8,2.33,3.67,3.4,3.4,,,
35,3.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,4.0,,50.0,,,,,,,,,,,,,,,,,,,,,1.83,1.6,1.5,1.83,1.8,2.0,,,,,,
36,4.0,3.0,4.0,1.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.17,3.0,3.0,,,,,,,,,
37,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,4.0,4.0,3.0,0.0,60.0,,,,,,,,,,,,,,,,,,,,,2.5,2.4,2.25,3.17,3.2,3.67,,,,,,
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,3.0,1.0,1.0,5.0,5.0,5.0,2.0,1.0,1.0,5.0,5.0,5.0,1.0,200.0,3.0,2.0,1.0,3.0,5.0,3.0,92.0,268.0,,,,,,,,,,,,,3.33,3.4,4.0,3.17,3.4,5.0,2.83,2.8,2.8,,,
40,5.0,2.0,1.0,3.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.33,3.0,3.25,,,,,,,,,
41,3.0,2.0,2.0,1.0,3.0,4.0,2.0,3.0,1.0,2.0,4.0,4.0,9.0,40.0,,,,,,,,,,,,,,,,,,,,,2.5,2.4,2.5,2.67,2.8,3.33,,,,,,
42,5.0,2.0,2.0,3.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.17,2.8,3.0,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,4.0,3.0,1.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.17,1.8,1.5,,,,,,,,,
45,4.0,3.0,1.0,5.0,4.0,5.0,2.0,4.0,3.0,2.0,3.0,4.0,,32.0,,,,,,,,,,,,,,,,,,,,,3.67,3.6,3.75,3.0,3.2,3.0,,,,,,
