Timestamp,Friend_1,Friend_2,Friend_3,Happiness_1,Happiness_2,Happiness_3,Happiness_4,Happiness_5,Happiness_6,Happiness_7,Happiness_8,Happiness_9,Happiness_10,Happiness_11,Anxiety_1,Anxiety_2,Anxiety_3,Anxiety_4,Anxiety_5,Anxiety_6,Anxiety_7,Depression_1,Depression_2,Depression_3,Depression_4,Depression_5,Depression_6,Depression_7,Depression_8,Depression_9,Commit,NonCommit,Age,Gender,Sex,Mono_or_Poly,Happiness_Rating,Anxiety_Rating,Depression_Rating,Friend_Rating
2022-04-08 23:15:16.234,5.0,3.0,4,5.0,6.0,4.0,7.0,3.0,5.0,5,6.0,4.0,5.0,6.0,1,1,2,2,0,3,1,1,0,0,1,1,1,2,0,0,0.0,0.0,1.0,1.0,2.0,0.0,5.090909090909091,1.4285714285714286,0.6666666666666666,4.0
2022-04-08 23:57:59.294,5.0,3.0,3,4.0,5.0,4.0,5.0,3.0,7.0,1,7.0,3.0,4.0,5.0,3,2,2,3,3,1,0,1,2,1,2,1,0,1,1,0,1.0,1.0,1.0,1.0,0.0,0.0,4.363636363636363,2.0,1.0,3.6666666666666665
2022-04-09 01:24:13.258,3.0,5.0,5,4.0,4.0,3.0,6.0,6.0,4.0,2,4.0,2.0,6.0,6.0,1,1,1,1,0,1,0,0,1,1,2,0,2,1,0,0,1.0,0.0,1.0,1.0,2.0,0.0,4.2727272727272725,0.7142857142857143,0.7777777777777778,4.333333333333333
2022-04-09 06:10:30.378,7.0,4.0,7,5.0,7.0,5.0,5.0,7.0,6.0,6,6.0,5.0,6.0,4.0,1,1,1,1,0,1,0,0,0,2,1,1,1,0,0,0,1.0,0.0,5.0,0.0,0.0,0.0,5.636363636363637,0.7142857142857143,0.5555555555555556,6.0
2022-04-09 06:53:14.637,5.0,3.0,1,4.0,1.0,3.0,7.0,3.0,5.0,5,2.0,4.0,5.0,5.0,3,3,2,1,3,0,3,1,2,0,2,2,1,1,1,1,1.0,0.0,1.0,1.0,0.0,0.0,4.0,2.142857142857143,1.2222222222222223,3.0
2022-04-09 08:46:29.920,5.0,3.0,6,6.0,6.0,5.0,4.0,4.0,6.0,3,6.0,4.0,6.0,4.0,1,2,1,1,1,2,1,1,0,1,1,1,0,2,0,0,1.0,0.0,1.0,1.0,0.0,0.0,4.909090909090909,1.2857142857142858,0.6666666666666666,4.666666666666667
2022-04-09 08:55:42.073,7.0,7.0,4,5.0,6.0,4.0,5.0,5.0,4.0,4,3.0,4.0,5.0,6.0,2,2,2,2,1,1,1,1,1,1,2,1,2,1,1,1,0.0,1.0,1.0,1.0,0.0,0.0,4.636363636363637,1.5714285714285714,1.2222222222222223,6.0
2022-04-09 10:40:14.311,6.0,5.0,6,6.0,6.0,5.0,7.0,6.0,5.0,6,5.0,4.0,4.0,6.0,1,1,1,1,2,1,1,0,1,1,1,0,1,1,0,0,0.0,0.0,1.0,1.0,0.0,0.0,5.454545454545454,1.1428571428571428,0.5555555555555556,5.666666666666667
2022-04-09 11:00:59.390,4.0,5.0,2,5.0,3.0,3.0,5.0,3.0,5.0,4,3.0,5.0,3.0,3.0,2,2,2,2,1,1,1,1,1,3,1,2,2,2,0,0,0.0,0.0,1.0,1.0,5.0,0.0,3.8181818181818183,1.5714285714285714,1.3333333333333333,3.6666666666666665
2022-04-09 14:41:49.616,6.0,4.0,7,7.0,7.0,7.0,6.0,7.0,7.0,6,7.0,4.0,7.0,6.0,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,1.0,0.0,5.0,4.0,0.0,0.0,6.454545454545454,0.7142857142857143,0.3333333333333333,5.666666666666667
2022-04-11 16:57:36.369,3.0,2.0,4,5.0,6.0,6.0,6.0,5.0,6.0,5,6.0,2.0,5.0,5.0,3,2,3,1,1,1,0,1,1,0,1,1,1,2,2,0,1.0,0.0,1.0,0.0,2.0,0.0,5.181818181818182,1.5714285714285714,1.0,3.0
2022-04-11 20:00:35.005,5.0,3.0,6,6.0,6.0,6.0,7.0,5.0,6.0,6,5.0,4.0,6.0,5.0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1.0,0.0,1.0,1.0,0.0,0.0,5.636363636363637,0.8571428571428571,0.6666666666666666,4.666666666666667
2022-04-12 00:53:04.765,4.0,3.0,6,6.0,6.0,5.0,6.0,5.0,6.0,5,3.0,2.0,5.0,6.0,1,0,1,1,0,1,1,1,0,2,2,2,0,1,0,0,0.0,1.0,1.0,0.0,2.0,0.0,5.0,0.7142857142857143,0.8888888888888888,4.333333333333333
2022-04-12 08:05:54.012,6.0,5.0,2,5.0,5.0,,7.0,4.0,7.0,4,4.0,4.0,4.0,6.0,3,3,3,3,1,3,1,1,1,2,2,2,2,1,1,1,1.0,0.0,1.0,1.0,0.0,0.0,4.545454545454546,2.4285714285714284,1.4444444444444444,4.333333333333333
2022-04-12 08:06:28.117,7.0,4.0,4,5.0,6.0,5.0,7.0,5.0,6.0,5,7.0,5.0,6.0,5.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,1.0,1.0,0.0,0.0,0.0,5.636363636363637,1.0,1.0,5.0
2022-04-12 08:06:50.364,6.0,5.0,7,5.0,6.0,4.0,6.0,6.0,5.0,4,5.0,5.0,5.0,6.0,1,1,1,2,1,1,0,1,1,2,2,1,1,1,0,0,0.0,1.0,1.0,0.0,0.0,0.0,5.181818181818182,1.0,1.0,6.0
